date,year,month,month_num,quarter,price,month_sin,month_cos,price_lag_1,price_lag_3,price_lag_6,price_lag_12,price_rolling_mean_3,price_rolling_mean_6,price_rolling_std_3,price_pct_change_1,price_pct_change_3,price_pct_change_12,price_yoy_change
2014-01-01,2014,January,1,1,92.87,0.49999999999999994,0.8660254037844387,92.55,90.9,91.82,89.86,91.99666666666667,91.40833333333335,1.2458464324840888,0.0034575904916263056,0.021672167216721716,0.033496550189183294,0.033496550189183294
2014-02-01,2014,February,2,1,92.24,0.8660254037844386,0.5000000000000001,92.87,90.57,91.07,89.56,92.55333333333333,91.60333333333334,0.31501322723556036,-0.006783676106385417,0.018438776636855447,0.029924073246985206,0.029924073246985206
2014-03-01,2014,March,3,1,92.48,1.0,6.123233995736766e-17,92.24,92.55,90.49,90.53,92.52999999999999,91.935,0.3179622619117373,0.002601908065915204,-0.0007563479200431988,0.02153982105379426,0.02153982105379426
2014-04-01,2014,April,4,2,93.11,0.8660254037844387,-0.4999999999999998,92.48,92.87,90.9,91.13,92.61,92.30333333333334,0.4493328387732521,0.0068122837370241385,0.0025842575643371113,0.021727202896960396,0.021727202896960396
2014-05-01,2014,May,5,2,94.31,0.49999999999999994,-0.8660254037844387,93.11,92.24,90.57,90.88,93.3,92.92666666666666,0.9296773633901413,0.012887981956825278,0.022441457068516968,0.03774207746478875,0.03774207746478875
2014-06-01,2014,June,6,2,97.48,1.2246467991473532e-16,-1.0,94.31,92.48,92.55,91.46,94.96666666666665,93.74833333333333,2.257793908516321,0.03361255434206334,0.05406574394463659,0.06582112398862905,0.06582112398862905
2014-07-01,2014,July,7,3,94.52,-0.4999999999999997,-0.8660254037844388,97.48,93.11,92.87,91.82,95.43666666666667,94.02333333333333,1.7726909864196299,-0.03036520311858848,0.015143378799269636,0.02940535830973645,0.02940535830973645
2014-08-01,2014,August,8,3,95.56,-0.8660254037844385,-0.5000000000000004,94.52,94.31,92.24,91.07,95.85333333333334,94.57666666666667,1.5016435440321392,0.0110029623360135,0.013254161806807385,0.04930273416053588,0.04930273416053588
2014-09-01,2014,September,9,3,95.31,-1.0,-1.8369701987210297e-16,95.56,97.48,92.48,90.49,95.13,95.04833333333333,0.5428627819256648,-0.0026161573880284505,-0.02226097661058679,0.053265554204884547,0.053265554204884547
2014-10-01,2014,October,10,4,94.91,-0.8660254037844386,0.5000000000000001,95.31,94.52,93.11,90.9,95.25999999999999,95.34833333333331,0.32787192621519934,-0.004196831392298872,0.004126110876005118,0.04411441144114403,0.04411441144114403
2014-11-01,2014,November,11,4,95.9,-0.5000000000000004,0.8660254037844384,94.91,95.56,94.31,90.57,95.37333333333333,95.61333333333334,0.49802945026714507,0.01043093456959232,0.003557974047718737,0.0588495086673293,0.0588495086673293
2014-12-01,2014,December,12,4,97.71,-2.4492935982947064e-16,1.0,95.9,95.31,97.48,92.55,96.17333333333333,95.65166666666666,1.4198708861489286,0.01887382690302375,0.025180988353792788,0.05575364667747151,0.05575364667747151
2015-01-01,2015,January,1,1,96.44,0.49999999999999994,0.8660254037844387,97.71,94.91,94.52,92.87,96.68333333333334,95.97166666666668,0.9292111349598213,-0.012997646095588955,0.016120535243915324,0.03844083126951636,0.03844083126951636
2015-02-01,2015,February,2,1,95.7,0.8660254037844386,0.5000000000000001,96.44,95.9,95.56,92.24,96.61666666666667,95.995,1.016579231212854,-0.007673164661965881,-0.002085505735140769,0.03751084128360804,0.03751084128360804
2015-03-01,2015,March,3,1,94.72,1.0,6.123233995736766e-17,95.7,97.71,95.31,92.48,95.62,95.89666666666666,0.8627861844049396,-0.010240334378265437,-0.030600757343158258,0.02422145328719716,0.02422145328719716
2015-04-01,2015,April,4,2,96.21,0.8660254037844387,-0.4999999999999998,94.72,96.44,94.91,93.11,95.54333333333334,96.11333333333333,0.7572538103789049,0.015730574324324342,-0.0023849025300705096,0.0332939533884653,0.0332939533884653
2015-05-01,2015,May,5,2,95.57,0.49999999999999994,-0.8660254037844387,96.21,95.7,95.9,94.31,95.5,96.05833333333334,0.7474623736349801,-0.006652115164743844,-0.0013584117032393594,0.01336019510126163,0.01336019510126163
2015-06-01,2015,June,6,2,95.75,1.2246467991473532e-16,-1.0,95.57,94.72,97.71,97.48,95.84333333333332,95.73166666666667,0.33005050118634643,0.0018834362247568404,0.010874155405405483,-0.017747230201066944,-0.017747230201066944
2015-07-01,2015,July,7,3,96.63,-0.4999999999999997,-0.8660254037844388,95.75,96.21,96.44,94.52,95.98333333333333,95.76333333333332,0.5672154205708364,0.009190600522193115,0.004365450576863106,0.02232331781633512,0.02232331781633512
2015-08-01,2015,August,8,3,97.68,-0.8660254037844385,-0.5000000000000004,96.63,95.57,95.7,95.56,96.68666666666667,96.09333333333332,0.9662470353555148,0.010866190624029937,0.02207805796798179,0.022185014650481394,0.022185014650481394
